用户id,年龄,性别,省份,城市,来源渠道,event事件,event path,客户端时间,场景,类型
user1,35,女,北京市,北京市,主动打开,进入app,,2022/10/30 07:42:54,生命周期,其他
user1,35,女,北京市,北京市,主动打开,进入首页,,2022/10/30 07:44:22,聚合页,综合
user1,35,女,北京市,北京市,主动打开,进入列表页,,2022/10/30 07:45:16,聚合页,综合
user1,35,女,北京市,北京市,主动打开,阅读小说 ,,2022/10/30 07:48:13,正文页,娱乐
user1,35,女,北京市,北京市,主动打开,阅读文章,,2022/10/30 07:51:14,正文页,娱乐
user1,35,女,北京市,北京市,主动打开,播放视频,,2022/10/30 07:54:31,正文页,娱乐
user1,35,女,北京市,北京市,主动打开,阅读小说 ,,2022/10/30 07:57:06,正文页,娱乐
user1,35,女,北京市,北京市,主动打开,阅读文章,,2022/10/30 07:59:22,正文页,财经
user1,35,女,北京市,北京市,主动打开,阅读文章,,2022/10/30 08:01:34,正文页,教育
user1,35,女,北京市,北京市,主动打开,阅读文章,,2022/10/30 08:03:25,正文页,教育
user1,35,女,北京市,北京市,主动打开,阅读小说 ,,2022/10/30 08:05:36,正文页,教育
user1,35,女,北京市,北京市,主动打开,播放视频,,2022/10/30 08:06:34,正文页,娱乐
user1,35,女,北京市,北京市,主动打开,进入列表页,,2022/10/30 08:09:38,聚合页,综合
user1,35,女,北京市,北京市,主动打开,阅读文章,,2022/10/30 08:11:26,正文页,体育
user1,35,女,北京市,北京市,主动打开,阅读小说 ,,2022/10/30 08:13:40,正文页,体育
user1,35,女,北京市,北京市,推送打开,进入列表页,,2022/10/31 12:21:06,聚合页,综合
user1,35,女,北京市,北京市,推送打开,观看直播 ,,2022/10/31 12:23:11,正文页,娱乐
user1,35,女,北京市,北京市,推送打开,阅读小说 ,,2022/10/31 12:25:42,正文页,娱乐
user1,35,女,北京市,北京市,推送打开,进入列表页,,2022/10/31 12:27:02,聚合页,综合
user1,35,女,北京市,北京市,推送打开,阅读文章,,2022/10/31 12:28:10,正文页,财经
user1,35,女,北京市,北京市,推送打开,阅读文章,,2022/10/31 12:30:21,正文页,财经
user1,35,女,北京市,北京市,推送打开,阅读文章,,2022/10/31 12:33:43,正文页,教育
user1,35,女,北京市,北京市,主动打开,进入app,,2022/10/31 14:03:11,生命周期,其他
user1,35,女,北京市,北京市,主动打开,进入首页,,2022/10/31 14:05:45,聚合页,综合
user1,35,女,北京市,北京市,主动打开,阅读文章,,2022/10/31 14:07:26,正文页,体育
user1,35,女,北京市,北京市,主动打开,阅读文章,,2022/10/31 14:09:56,正文页,娱乐
user1,35,女,北京市,北京市,主动打开,阅读文章,,2022/10/31 14:13:06,正文页,新闻
user1,35,女,北京市,北京市,主动打开,阅读文章,,2022/10/31 14:16:24,正文页,新闻
user1,35,女,北京市,北京市,主动打开,进入列表页,,2022/10/31 14:19:56,聚合页,综合
user1,35,女,北京市,北京市,主动打开,观看直播,,2022/10/31 14:22:56,正文页,教育
user1,35,女,北京市,北京市,主动打开,观看直播,,2022/10/31 14:28:54,正文页,教育
user1,35,女,北京市,北京市,主动打开,阅读小说 ,,2022/10/31 14:30:20,正文页,教育
user1,35,女,北京市,北京市,推送打开,播放视频,,2022/11/01 10:12:10,正文页,娱乐
user1,35,女,北京市,北京市,推送打开,观看直播 ,,2022/11/01 10:17:32,正文页,体育
user1,35,女,北京市,北京市,推送打开,播放视频,,2022/11/01 10:19:21,正文页,财经
user1,35,女,北京市,北京市,推送打开,阅读文章,,2022/11/01 10:22:41,正文页,财经
user1,35,女,北京市,北京市,推送打开,进入列表页,,2022/11/01 10:24:24,聚合页,综合
user1,35,女,北京市,北京市,推送打开,进入首页,,2022/11/01 10:27:43,聚合页,综合
user1,35,女,北京市,北京市,推送打开,阅读小说 ,,2022/11/01 10:29:11,正文页,财经
user1,35,女,北京市,北京市,推送打开,播放视频,,2022/11/01 10:31:16,正文页,教育
user1,35,女,北京市,北京市,推送打开,阅读文章,,2022/11/01 10:33:12,正文页,教育
user1,35,女,北京市,北京市,推送打开,阅读小说 ,,2022/11/01 10:34:47,正文页,教育
user1,35,女,北京市,北京市,推送打开,阅读文章,,2022/11/01 10:35:06,正文页,娱乐
user1,35,女,北京市,北京市,推送打开,阅读文章,,2022/11/01 10:39:49,正文页,娱乐
user1,35,女,北京市,北京市,推送打开,观看直播 ,,2022/11/01 10:42:23,正文页,娱乐
user1,35,女,北京市,北京市,主动打开,进入app,,2022/11/02 19:12:23,生命周期,其他
user1,35,女,北京市,北京市,主动打开,进入首页,,2022/11/02 19:14:10,聚合页,综合
user1,35,女,北京市,北京市,主动打开,播放视频,,2022/11/02 19:18:33,正文页,财经
user1,35,女,北京市,北京市,主动打开,播放视频,,2022/11/02 19:19:21,正文页,财经
user1,35,女,北京市,北京市,主动打开,播放视频,,2022/11/02 19:22:01,正文页,财经
user1,35,女,北京市,北京市,主动打开,阅读文章,,2022/11/02 19:23:34,正文页,财经
user1,35,女,北京市,北京市,主动打开,阅读文章,,2022/11/02 19:25:03,正文页,财经
user1,35,女,北京市,北京市,主动打开,播放视频,,2022/11/02 19:27:42,正文页,教育
user1,35,女,北京市,北京市,主动打开,进入列表页,,2022/11/02 19:32:11,聚合页,综合
user1,35,女,北京市,北京市,主动打开,阅读文章,,2022/11/02 19:33:33,正文页,体育
user1,35,女,北京市,北京市,主动打开,观看直播 ,,2022/11/02 19:36:27,正文页,体育
user1,35,女,北京市,北京市,主动打开,观看直播 ,,2022/11/02 19:39:08,正文页,体育
user1,35,女,北京市,北京市,主动打开,进入app,,2022/11/03 06:11:08,生命周期,其他
user1,35,女,北京市,北京市,主动打开,进入首页,,2022/11/03 06:14:09,聚合页,综合
user1,35,女,北京市,北京市,主动打开,进入列表页,,2022/11/03 06:17:23,聚合页,综合
user1,35,女,北京市,北京市,主动打开,阅读文章,,2022/11/03 06:18:34,正文页,新闻
user1,35,女,北京市,北京市,主动打开,阅读文章,,2022/11/03 06:21:02,正文页,新闻
user1,35,女,北京市,北京市,主动打开,阅读文章,,2022/11/03 06:24:24,正文页,新闻
user1,35,女,北京市,北京市,主动打开,阅读小说 ,,2022/11/03 06:25:15,正文页,新闻
user1,35,女,北京市,北京市,主动打开,阅读小说 ,,2022/11/03 06:27:25,正文页,新闻
user1,35,女,北京市,北京市,主动打开,阅读小说 ,,2022/11/03 06:29:14,正文页,新闻
user1,35,女,北京市,北京市,主动打开,进入列表页,,2022/11/03 06:31:14,聚合页,综合
user1,35,女,北京市,北京市,主动打开,播放视频,,2022/11/03 06:34:27,正文页,教育
user1,35,女,北京市,北京市,主动打开,播放视频,,2022/11/03 06:36:16,正文页,教育
user1,35,女,北京市,北京市,主动打开,播放视频,,2022/11/03 06:37:34,正文页,教育
user1,35,女,北京市,北京市,主动打开,阅读文章,,2022/11/03 06:39:18,正文页,教育
user1,35,女,北京市,北京市,主动打开,进入app,,2022/11/04 02:19:04,生命周期,其他
user1,35,女,北京市,北京市,主动打开,进入首页,,2022/11/04 02:21:34,聚合页,综合
user1,35,女,北京市,北京市,主动打开,进入列表页,,2022/11/04 02:23:42,聚合页,综合
user1,35,女,北京市,北京市,主动打开,观看直播,,2022/11/04 02:25:36,正文页,教育
user1,35,女,北京市,北京市,主动打开,观看直播,,2022/11/04 02:27:07,正文页,教育
user1,35,女,北京市,北京市,主动打开,观看直播,,2022/11/04 02:29:38,正文页,教育
user1,35,女,北京市,北京市,主动打开,观看直播,,2022/11/04 02:31:34,正文页,教育
user1,35,女,北京市,北京市,主动打开,播放视频,,2022/11/04 02:33:40,正文页,教育
user1,35,女,北京市,北京市,主动打开,播放视频,,2022/11/04 02:35:34,正文页,教育
user1,35,女,北京市,北京市,主动打开,播放视频,,2022/11/04 02:37:23,正文页,教育
user1,35,女,北京市,北京市,主动打开,播放视频,,2022/11/04 02:39:02,正文页,教育
user1,35,女,北京市,北京市,主动打开,播放视频,,2022/11/04 02:41:44,正文页,教育
user1,35,女,北京市,北京市,主动打开,进入app,,2022/11/05 12:11:05,生命周期,其他
user1,35,女,北京市,北京市,主动打开,进入首页,,2022/11/05 12:12:11,聚合页,综合
user1,35,女,北京市,北京市,主动打开,进入列表页,,2022/11/05 12:14:15,聚合页,综合
user1,35,女,北京市,北京市,主动打开,观看直播,,2022/11/05 12:15:22,正文页,新闻
user1,35,女,北京市,北京市,主动打开,观看直播,,2022/11/05 12:22:45,正文页,新闻
user1,35,女,北京市,北京市,主动打开,进入列表页,,2022/11/05 12:24:24,聚合页,综合
user1,35,女,北京市,北京市,主动打开,观看直播 ,,2022/11/05 12:26:47,正文页,财经
user1,35,女,北京市,北京市,主动打开,观看直播 ,,2022/11/05 12:29:12,正文页,财经
user1,35,女,北京市,北京市,主动打开,阅读文章,,2022/11/05 12:32:10,正文页,财经
user1,35,女,北京市,北京市,主动打开,进入app,,2022/11/06 19:02:02,生命周期,其他
user1,35,女,北京市,北京市,主动打开,进入首页,,2022/11/06 19:06:13,聚合页,综合
user1,35,女,北京市,北京市,主动打开,进入列表页,,2022/11/06 19:09:33,聚合页,综合
user1,35,女,北京市,北京市,主动打开,播放视频,,2022/11/06 19:12:24,正文页,体育
user1,35,女,北京市,北京市,主动打开,播放视频,,2022/11/06 19:14:33,正文页,体育
user1,35,女,北京市,北京市,主动打开,阅读文章,,2022/11/06 19:19:07,正文页,体育
user1,35,女,北京市,北京市,主动打开,进入列表页,,2022/11/06 19:24:11,聚合页,综合
user1,35,女,北京市,北京市,主动打开,阅读小说 ,,2022/11/06 19:27:09,正文页,新闻
user1,35,女,北京市,北京市,主动打开,阅读文章,,2022/11/06 19:34:41,正文页,新闻
user2,24,男,河南省,洛阳市,主动打开,进入app,,2022/10/28 19:04:23,生命周期,其他
user2,24,男,河南省,洛阳市,主动打开,进入首页,,2022/10/28 19:05:11,聚合页,综合
user2,24,男,河南省,洛阳市,主动打开,进入列表页,,2022/10/28 19:06:42,聚合页,综合
user2,24,男,河南省,洛阳市,主动打开,阅读文章,,2022/10/28 19:08:42,正文页,新闻
user2,24,男,河南省,洛阳市,主动打开,阅读文章,,2022/10/28 19:12:32,正文页,新闻
user2,24,男,河南省,洛阳市,主动打开,阅读文章,,2022/10/28 19:14:25,正文页,新闻
user2,24,男,河南省,洛阳市,主动打开,阅读小说 ,,2022/10/28 19:19:32,正文页,新闻
user2,24,男,河南省,洛阳市,主动打开,阅读小说 ,,2022/10/28 19:22:52,正文页,新闻
user2,24,男,河南省,洛阳市,主动打开,阅读小说 ,,2022/10/28 19:24:31,正文页,新闻
user2,24,男,河南省,洛阳市,主动打开,进入列表页,,2022/10/28 19:26:12,聚合页,综合
user2,24,男,河南省,洛阳市,主动打开,阅读小说 ,,2022/10/28 19:29:55,正文页,体育
user2,24,男,河南省,洛阳市,主动打开,阅读小说 ,,2022/10/28 19:34:01,正文页,体育
user2,24,男,河南省,洛阳市,主动打开,阅读小说 ,,2022/10/28 19:37:18,正文页,体育
user2,24,男,河南省,洛阳市,主动打开,观看直播 ,,2022/10/28 19:39:20,正文页,体育
user2,24,男,河南省,洛阳市,推送打开,进入列表页,,2022/10/29 09:11:12,聚合页,综合
user2,24,男,河南省,洛阳市,推送打开,播放视频,,2022/10/29 09:15:13,正文页,体育
user2,24,男,河南省,洛阳市,推送打开,播放视频,,2022/10/29 09:19:10,正文页,体育
user2,24,男,河南省,洛阳市,推送打开,播放视频,,2022/10/29 09:21:02,正文页,体育
user2,24,男,河南省,洛阳市,推送打开,观看直播 ,,2022/10/29 09:26:11,正文页,体育
user2,24,男,河南省,洛阳市,推送打开,观看直播 ,,2022/10/29 09:27:04,正文页,体育
user2,24,男,河南省,洛阳市,推送打开,进入列表页,,2022/10/29 09:29:53,聚合页,综合
user2,24,男,河南省,洛阳市,推送打开,播放视频,,2022/10/29 09:31:43,正文页,财经
user2,24,男,河南省,洛阳市,推送打开,播放视频,,2022/10/29 09:34:11,正文页,财经
user2,24,男,河南省,洛阳市,推送打开,播放视频,,2022/10/29 09:35:33,正文页,财经
user2,24,男,河南省,洛阳市,推送打开,播放视频,,2022/10/29 09:36:10,正文页,财经
user2,24,男,河南省,洛阳市,推送打开,观看直播 ,,2022/10/29 09:37:43,正文页,财经
user2,24,男,河南省,洛阳市,主动打开,进入app,,2022/10/29 18:08:12,生命周期,其他
user2,24,男,河南省,洛阳市,主动打开,进入首页,,2022/10/29 18:09:22,聚合页,综合
user2,24,男,河南省,洛阳市,主动打开,阅读文章,,2022/10/29 18:12:33,正文页,新闻
user2,24,男,河南省,洛阳市,主动打开,阅读文章,,2022/10/29 18:17:33,正文页,新闻
user2,24,男,河南省,洛阳市,主动打开,阅读文章,,2022/10/29 18:19:22,正文页,新闻
user2,24,男,河南省,洛阳市,主动打开,阅读文章,,2022/10/29 18:22:12,正文页,新闻
user2,24,男,河南省,洛阳市,主动打开,进入app,,2022/10/30 20:12:43,生命周期,其他
user2,24,男,河南省,洛阳市,主动打开,进入首页,,2022/10/30 20:13:50,聚合页,综合
user2,24,男,河南省,洛阳市,主动打开,进入列表页,,2022/10/30 20:17:23,聚合页,综合
user2,24,男,河南省,洛阳市,主动打开,观看直播,,2022/10/30 20:22:16,正文页,教育
user2,24,男,河南省,洛阳市,主动打开,进入app,,2022/10/31 23:10:23,生命周期,其他
user2,24,男,河南省,洛阳市,主动打开,进入首页,,2022/10/31 23:11:11,聚合页,综合
user2,24,男,河南省,洛阳市,主动打开,进入列表页,,2022/10/31 23:12:33,聚合页,综合
user2,24,男,河南省,洛阳市,主动打开,播放视频,,2022/10/31 23:13:17,正文页,新闻
user2,24,男,河南省,洛阳市,主动打开,播放视频,,2022/10/31 23:16:22,正文页,新闻
user2,24,男,河南省,洛阳市,主动打开,进入列表页,,2022/10/31 23:19:11,聚合页,综合
user2,24,男,河南省,洛阳市,主动打开,播放视频,,2022/10/31 23:20:43,正文页,体育
user2,24,男,河南省,洛阳市,主动打开,进入列表页,,2022/10/31 23:25:10,聚合页,综合
user2,24,男,河南省,洛阳市,主动打开,播放视频,,2022/10/31 23:26:13,正文页,教育
user2,24,男,河南省,洛阳市,主动打开,播放视频,,2022/10/31 23:27:21,正文页,教育
user2,24,男,河南省,洛阳市,主动打开,进入列表页,,2022/10/31 23:29:20,聚合页,综合
user2,24,男,河南省,洛阳市,主动打开,播放视频,,2022/10/31 23:30:12,正文页,新闻
user2,24,男,河南省,洛阳市,主动打开,播放视频,,2022/10/31 23:35:49,正文页,新闻
user2,24,男,河南省,洛阳市,推送打开,观看直播 ,,2022/11/01 08:15:33,正文页,体育
user2,24,男,河南省,洛阳市,推送打开,观看直播 ,,2022/11/01 08:16:21,正文页,体育
user2,24,男,河南省,洛阳市,推送打开,观看直播 ,,2022/11/01 08:19:13,正文页,体育
user2,24,男,河南省,洛阳市,推送打开,阅读小说 ,,2022/11/01 08:23:32,正文页,体育
user2,24,男,河南省,洛阳市,推送打开,进入首页,,2022/11/01 08:26:12,聚合页,综合
user2,24,男,河南省,洛阳市,推送打开,阅读小说 ,,2022/11/01 08:27:41,正文页,新闻
user2,24,男,河南省,洛阳市,推送打开,阅读小说 ,,2022/11/01 08:29:12,正文页,新闻
user2,24,男,河南省,洛阳市,推送打开,进入列表页,,2022/11/01 08:31:14,聚合页,综合
user2,24,男,河南省,洛阳市,推送打开,阅读文章,,2022/11/01 08:33:12,正文页,教育
user2,24,男,河南省,洛阳市,推送打开,观看直播,,2022/11/01 08:36:14,正文页,教育
user2,24,男,河南省,洛阳市,推送打开,播放视频,,2022/11/01 08:39:12,正文页,教育
user2,24,男,河南省,洛阳市,主动打开,进入app,,2022/11/02 10:11:30,生命周期,其他
user2,24,男,河南省,洛阳市,主动打开,进入首页,,2022/11/02 10:12:11,聚合页,综合
user2,24,男,河南省,洛阳市,主动打开,进入列表页,,2022/11/02 10:13:31,聚合页,综合
user2,24,男,河南省,洛阳市,主动打开,阅读小说 ,,2022/11/02 10:15:12,正文页,教育
user2,24,男,河南省,洛阳市,主动打开,阅读小说 ,,2022/11/02 10:22:12,正文页,教育
user2,24,男,河南省,洛阳市,主动打开,阅读小说 ,,2022/11/02 10:23:16,正文页,教育
user2,24,男,河南省,洛阳市,主动打开,阅读小说 ,,2022/11/02 10:25:19,正文页,教育
user2,24,男,河南省,洛阳市,主动打开,阅读文章,,2022/11/02 10:27:12,正文页,教育
user2,24,男,河南省,洛阳市,主动打开,播放视频,,2022/11/02 10:29:33,正文页,教育
user2,24,男,河南省,洛阳市,主动打开,进入列表页,,2022/11/02 10:32:41,聚合页,综合
user2,24,男,河南省,洛阳市,主动打开,阅读文章,,2022/11/02 10:35:06,正文页,体育
user2,24,男,河南省,洛阳市,推送打开,阅读文章,,2022/11/02 17:23:02,正文页,体育
user2,24,男,河南省,洛阳市,推送打开,阅读文章,,2022/11/02 17:27:27,正文页,体育
user2,24,男,河南省,洛阳市,推送打开,观看直播 ,,2022/11/02 17:33:14,正文页,体育
user2,24,男,河南省,洛阳市,推送打开,观看直播,,2022/11/03 13:24:43,正文页,教育
user2,24,男,河南省,洛阳市,推送打开,观看直播,,2022/11/03 13:26:14,正文页,教育
user2,24,男,河南省,洛阳市,推送打开,播放视频,,2022/11/03 13:29:23,正文页,教育
user2,24,男,河南省,洛阳市,推送打开,阅读文章,,2022/11/03 13:30:12,正文页,教育
user2,24,男,河南省,洛阳市,推送打开,阅读小说 ,,2022/11/03 13:32:47,正文页,教育
user2,24,男,河南省,洛阳市,推送打开,进入列表页,,2022/11/03 13:35:14,聚合页,综合
user2,24,男,河南省,洛阳市,推送打开,观看直播 ,,2022/11/03 13:39:11,正文页,体育
user2,24,男,河南省,洛阳市,推送打开,阅读小说 ,,2022/11/03 13:44:50,正文页,体育
user2,24,男,河南省,洛阳市,推送打开,阅读文章,,2022/11/03 13:47:06,正文页,体育
user2,24,男,河南省,洛阳市,主动打开,进入app,,2022/11/04 20:22:04,生命周期,其他
user2,24,男,河南省,洛阳市,主动打开,进入首页,,2022/11/04 20:24:13,聚合页,综合
user2,24,男,河南省,洛阳市,主动打开,进入列表页,,2022/11/04 20:25:11,聚合页,综合
user2,24,男,河南省,洛阳市,主动打开,观看直播 ,,2022/11/04 20:29:34,正文页,娱乐
user2,24,男,河南省,洛阳市,主动打开,阅读小说 ,,2022/11/04 20:31:12,正文页,娱乐
user2,24,男,河南省,洛阳市,主动打开,观看直播 ,,2022/11/04 20:32:24,正文页,娱乐
user2,24,男,河南省,洛阳市,主动打开,阅读小说 ,,2022/11/04 20:33:25,正文页,娱乐
user2,24,男,河南省,洛阳市,主动打开,阅读小说 ,,2022/11/04 20:36:26,正文页,娱乐
user2,24,男,河南省,洛阳市,主动打开,观看直播 ,,2022/11/04 20:38:22,正文页,娱乐
user2,24,男,河南省,洛阳市,主动打开,阅读文章,,2022/11/04 20:39:47,正文页,娱乐
user2,24,男,河南省,洛阳市,主动打开,阅读文章,,2022/11/04 20:45:23,正文页,娱乐
user2,24,男,河南省,洛阳市,主动打开,播放视频,,2022/11/04 20:47:54,正文页,新闻
user2,24,男,河南省,洛阳市,推送打开,阅读小说 ,,2022/11/05 09:07:10,正文页,教育
user2,24,男,河南省,洛阳市,推送打开,阅读小说 ,,2022/11/05 09:09:33,正文页,教育
user2,24,男,河南省,洛阳市,推送打开,阅读小说 ,,2022/11/05 09:12:34,正文页,教育
user2,24,男,河南省,洛阳市,推送打开,阅读小说 ,,2022/11/05 09:15:21,正文页,教育
user2,24,男,河南省,洛阳市,推送打开,阅读文章,,2022/11/05 09:17:34,正文页,教育
user2,24,男,河南省,洛阳市,推送打开,观看直播,,2022/11/05 09:19:02,正文页,教育
user2,24,男,河南省,洛阳市,推送打开,进入列表页,,2022/11/05 09:23:16,聚合页,综合
user2,24,男,河南省,洛阳市,推送打开,播放视频,,2022/11/05 09:25:10,正文页,体育
user2,24,男,河南省,洛阳市,推送打开,播放视频,,2022/11/05 09:28:18,正文页,体育
user2,24,男,河南省,洛阳市,推送打开,播放视频,,2022/11/05 09:29:02,正文页,体育
user2,24,男,河南省,洛阳市,推送打开,阅读小说 ,,2022/11/05 09:33:20,正文页,体育
user2,24,男,河南省,洛阳市,推送打开,进入列表页,,2022/11/05 09:35:10,聚合页,综合
user2,24,男,河南省,洛阳市,推送打开,观看直播,,2022/11/05 09:37:22,正文页,新闻
user2,24,男,河南省,洛阳市,推送打开,观看直播,,2022/11/05 09:40:10,正文页,新闻
user2,24,男,河南省,洛阳市,主动打开,进入app,,2022/11/06 12:10:33,生命周期,其他
user2,24,男,河南省,洛阳市,主动打开,进入首页,,2022/11/06 12:12:24,聚合页,综合
user2,24,男,河南省,洛阳市,主动打开,进入列表页,,2022/11/06 12:15:15,聚合页,综合
user2,24,男,河南省,洛阳市,主动打开,播放视频,,2022/11/06 12:17:17,正文页,体育
user2,24,男,河南省,洛阳市,主动打开,播放视频,,2022/11/06 12:19:20,正文页,体育
user2,24,男,河南省,洛阳市,主动打开,观看直播 ,,2022/11/06 12:23:31,正文页,体育
user2,24,男,河南省,洛阳市,主动打开,观看直播 ,,2022/11/06 12:25:06,正文页,体育
user3,31,男,山西省,临汾市,主动打开,进入app,,2022/10/28 11:04:23,生命周期,其他
user3,31,男,山西省,临汾市,主动打开,进入首页,,2022/10/28 11:05:11,聚合页,综合
user3,31,男,山西省,临汾市,主动打开,进入列表页,,2022/10/28 11:07:42,聚合页,综合
user3,31,男,山西省,临汾市,主动打开,播放视频,,2022/10/28 11:11:23,正文页,体育
user3,31,男,山西省,临汾市,主动打开,观看直播 ,,2022/10/28 11:17:31,正文页,体育
user3,31,男,山西省,临汾市,主动打开,观看直播 ,,2022/10/28 11:27:12,正文页,体育
user3,31,男,山西省,临汾市,主动打开,进入app,,2022/10/28 13:10:12,生命周期,其他
user3,31,男,山西省,临汾市,主动打开,进入首页,,2022/10/28 13:13:34,聚合页,综合
user3,31,男,山西省,临汾市,主动打开,进入列表页,,2022/10/28 13:15:22,聚合页,综合
user3,31,男,山西省,临汾市,主动打开,播放视频,,2022/10/28 13:19:23,正文页,娱乐
user3,31,男,山西省,临汾市,主动打开,播放视频,,2022/10/28 13:25:16,正文页,娱乐
user3,31,男,山西省,临汾市,主动打开,观看直播 ,,2022/10/28 13:29:06,正文页,娱乐
user3,31,男,山西省,临汾市,主动打开,进入列表页,,2022/10/28 13:31:42,聚合页,综合
user3,31,男,山西省,临汾市,主动打开,观看直播 ,,2022/10/28 13:39:11,正文页,财经
user3,31,男,山西省,临汾市,推送打开,播放视频,,2022/10/28 15:12:34,正文页,体育
user3,31,男,山西省,临汾市,推送打开,播放视频,,2022/10/28 15:15:12,正文页,体育
user3,31,男,山西省,临汾市,推送打开,播放视频,,2022/10/28 15:19:33,正文页,体育
user3,31,男,山西省,临汾市,推送打开,观看直播 ,,2022/10/28 15:22:41,正文页,体育
user3,31,男,山西省,临汾市,推送打开,进入列表页,,2022/10/28 15:26:12,聚合页,综合
user3,31,男,山西省,临汾市,推送打开,观看直播,,2022/10/28 15:29:39,正文页,新闻
user3,31,男,山西省,临汾市,推送打开,观看直播,,2022/10/28 15:32:31,正文页,新闻
user3,31,男,山西省,临汾市,推送打开,阅读文章,,2022/10/28 15:42:12,正文页,新闻
user3,31,男,山西省,临汾市,主动打开,进入app,,2022/10/29 15:12:02,生命周期,其他
user3,31,男,山西省,临汾市,主动打开,进入首页,,2022/10/29 15:15:13,聚合页,综合
user3,31,男,山西省,临汾市,主动打开,进入列表页,,2022/10/29 15:16:15,聚合页,综合
user3,31,男,山西省,临汾市,主动打开,阅读文章,,2022/10/29 15:19:05,正文页,教育
user3,31,男,山西省,临汾市,主动打开,阅读文章,,2022/10/29 15:22:06,正文页,教育
user3,31,男,山西省,临汾市,主动打开,进入列表页,,2022/10/29 15:24:33,聚合页,综合
user3,31,男,山西省,临汾市,主动打开,阅读文章,,2022/10/29 15:26:08,正文页,新闻
user3,31,男,山西省,临汾市,主动打开,阅读文章,,2022/10/29 15:29:11,正文页,新闻
user3,31,男,山西省,临汾市,主动打开,阅读文章,,2022/10/29 15:34:12,正文页,新闻
user3,31,男,山西省,临汾市,主动打开,观看直播,,2022/10/29 15:36:12,正文页,新闻
user3,31,男,山西省,临汾市,推送打开,观看直播,,2022/10/29 17:11:32,正文页,教育
user3,31,男,山西省,临汾市,推送打开,观看直播,,2022/10/29 17:12:14,正文页,教育
user3,31,男,山西省,临汾市,推送打开,阅读文章,,2022/10/29 17:17:13,正文页,教育
user3,31,男,山西省,临汾市,推送打开,阅读文章,,2022/10/29 17:19:23,正文页,教育
user3,31,男,山西省,临汾市,推送打开,进入列表页,,2022/10/29 17:21:36,聚合页,综合
user3,31,男,山西省,临汾市,推送打开,播放视频,,2022/10/29 17:24:12,正文页,新闻
user3,31,男,山西省,临汾市,推送打开,观看直播,,2022/10/29 17:26:38,正文页,新闻
